video_key,score_source,current_run_seconds,cache_rebuild_reason,original_video_copy_seconds,original_decoder_open_seconds,original_decode_seconds,original_reference_read_seconds,original_ssim_seconds,original_memory_wait_seconds,original_total_seconds,original_frames_returned,original_decoder_batch_calls,original_ssim_comparisons,original_completed_candidates,original_cuda_stream_id,original_cpu_fallback,original_indexed_frame_count
495f16498db34d3c,computed_cuda_v3,756.666496706,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/fd4d8218861933527e390cbfedb9960bfe3a74a8037cabcd8a2f4a0294faad6a.json',239.271724854,0.08442418000004182,0.3346104130001777,515.594057162999,0.4518794550002667,0.0003650389996892045,755.7803484330001,493,41,1612,1615,133811249849136,False,32894
4aebc5cb2d4847aa,computed_cuda_v3,112.74769765799999,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/d9ac4d407da996d9c9d0401290a6d2cd0b8057fbef8f1d91103793b533d8a6d3.json',16.235700886000018,0.11883814200001552,0.0967518780000205,95.85926667899992,0.12990117300006432,0.00011581000001115171,112.486308705,136,12,447,450,133811182580064,False,28554
5bb1d3cc7dc64cec,computed_cuda_v3,1309.1535061260001,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/5840a07a5b29bba2b9fcbfccf3c0354cd2e4b1a5d4a032e9703762b2f31aa87b.json',110.09766966800004,0.10182265600002438,0.9100909060003914,1194.514793201,1.0655940769985364,0.0008334399994396335,1306.76229134,1198,99,3937,3940,133811249973920,False,34183
5e59c7fdb16c4228,computed_cuda_v3,2066.3053924600003,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/5ab97a72a73fbbc779dd18cb7f8f4f0f534819964486c4a71afb4edeb87fdc98.json',50.38144563899999,0.11129613399998561,2.564596783003026,2000.4910914769948,3.348724190001633,0.0026508899974828637,2057.039955361,3690,300,11970,11970,133811249849136,False,47978
5e9beaf4e66142c8,computed_cuda_v3,822.5085929099998,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/c39b2d1d204b1762ecb7dad751dc75c9244d956a72ed7d3fce499f3e8e52251b.json',41.06939312700001,0.12600932000003695,0.4873970370003917,778.7135807339996,0.6516434280000567,0.00052737000049774,821.1176530289999,702,58,2317,2320,133811249976496,False,49340
64440803f87b4843,computed_cuda_v3,2055.1800408229997,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/55341bea0ff0800ecd0d00fc117de3f8f48ec52c47ccceeb60ea6b9f16e049b8.json',160.344366536,0.0870701779999763,2.3806416740031864,1880.051890649002,2.9782494640005552,0.002336240001227452,2045.9704154290002,3394,270,10795,10795,133811250407760,False,33069
6cb700585c4f4070,computed_cuda_v3,1420.155672191,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/805daea1f0250645a822037ebb71937dc357c8117df24dd2b78cd0c88977ec69.json',123.07723799299998,0.07922051100001681,0.8637565819999509,1292.1453740259983,1.2311556880002854,0.0009278199999016579,1417.4504669809999,1334,111,4417,4420,133811250617392,False,26595
7a47e8eacea04e64,computed_cuda_v3,839.1182309440001,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/b056b938d48bbdf62f8c95a21207f66e2fe9ca6228ccf1d141ea47314a6ccdde.json',78.41849125299996,0.13583869799998638,0.5538029409996739,757.9992627720003,0.62644195599961,0.0004755299993917106,837.824596963,696,55,2180,2180,133811249904896,False,65859
7ad22d50ebaf4596,computed_cuda_v3,1218.857139398,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/27aa3275e97cd5a7bdd0a14de5d17212ffe24bcfa1f3c4c254d159c81ebdcce0.json',71.66606287100001,0.09984340600004771,0.9350479500011488,1142.8079057170005,1.0395000720002372,0.0008107499996299339,1216.620867775,1259,93,3700,3700,133811250532544,False,33769
8885668afb844852,computed_cuda_v3,2035.252699227,[Errno 2] No such file or directory: '/content/drive/MyDrive/MMVQA_Clinical/outputs/phase2/results/frame_alignment_cache_cuda_v3/66817db98c4f4ee93ceffe3552b59d398395af48f41579019c172f5d48c1d9f5.json',164.408055977,0.12398456899995836,2.246124746000646,1856.4961394299994,2.7505578090011795,0.0021533970028713156,2026.165737162,3079,253,10105,10105,133811249835872,False,38804
